INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,28-Apr-2016,0.0,XX,16200.0,16320.0,16088.0,16253.15,16253.15,98744,479690.76,1727640,79530,01-APR-2016
FUTIDX,BANKNIFTY,26-May-2016,0.0,XX,16225.0,16344.4,16125.0,16289.25,16289.25,3281,15991.89,125460,-2190,01-APR-2016
FUTIDX,BANKNIFTY,30-Jun-2016,0.0,XX,16205.05,16345.0,16151.15,16308.55,16308.55,85,414.0,1140,1140,01-APR-2016
FUTIDX,DJIA,13-Apr-2016,0.0,XX,17590.0,17615.0,17560.0,17582.5,17582.5,295,1555.76,22950,1980,01-APR-2016
FUTIDX,NIFTY,28-Apr-2016,0.0,XX,7754.85,7772.6,7704.1,7748.75,7748.75,182603,1059796.4,18512700,-356100,01-APR-2016
FUTIDX,NIFTY,26-May-2016,0.0,XX,7780.05,7800.0,7733.7,7776.2,7776.2,10441,60795.72,1567200,29325,01-APR-2016
FUTIDX,NIFTY,30-Jun-2016,0.0,XX,7775.0,7815.0,7750.95,7793.4,7793.4,917,5354.88,46950,46950,01-APR-2016
FUTIDX,NIFTYIT,28-Apr-2016,0.0,XX,11335.05,11389.4,11200.0,11252.35,11252.35,172,875.17,11790,2970,01-APR-2016
FUTIDX,S&P500,13-Apr-2016,0.0,XX,2050.5,2054.0,2047.0,2049.75,2049.75,129,661.27,495500,9250,01-APR-2016
FUTSTK,ABIRLANUVO,28-Apr-2016,0.0,XX,827.95,843.3,827.3,836.1,836.1,920,1921.39,1355250,2000,01-APR-2016
FUTSTK,ACC,28-Apr-2016,0.0,XX,1378.05,1419.75,1378.05,1416.15,1416.15,2384,12541.71,994875,11250,01-APR-2016
FUTSTK,ACC,26-May-2016,0.0,XX,1398.55,1423.7,1398.55,1419.0,1419.0,11,58.31,2625,1875,01-APR-2016
FUTSTK,ADANIENT,28-Apr-2016,0.0,XX,74.0,77.9,73.05,76.3,76.3,1097,5028.32,13998000,18000,01-APR-2016
FUTSTK,ADANIENT,26-May-2016,0.0,XX,77.35,77.9,76.75,76.75,76.75,6,27.88,90000,18000,01-APR-2016
FUTSTK,ADANIPORTS,28-Apr-2016,0.0,XX,247.15,248.35,241.25,244.45,244.45,2428,9501.25,33614400,94400,01-APR-2016
FUTSTK,ADANIPORTS,26-May-2016,0.0,XX,247.2,247.2,244.0,246.0,246.0,15,58.89,30400,12800,01-APR-2016
FUTSTK,ADANIPOWER,28-Apr-2016,0.0,XX,33.95,35.3,33.75,35.1,35.1,950,6581.77,65680000,1660000,01-APR-2016
FUTSTK,ADANIPOWER,26-May-2016,0.0,XX,34.3,34.55,34.3,34.3,35.25,3,20.63,300000,40000,01-APR-2016
FUTSTK,AJANTPHARM,28-Apr-2016,0.0,XX,1405.0,1420.0,1389.5,1399.35,1399.35,503,2822.37,310400,0,01-APR-2016
FUTSTK,ALBK,28-Apr-2016,0.0,XX,55.25,58.5,54.35,58.05,58.05,1230,4184.69,8286000,822000,01-APR-2016
FUTSTK,ALBK,26-May-2016,0.0,XX,55.95,58.05,55.95,58.05,58.05,25,85.03,198000,60000,01-APR-2016
FUTSTK,ALBK,30-Jun-2016,0.0,XX,55.9,56.35,55.9,56.0,58.95,4,13.45,18000,18000,01-APR-2016
FUTSTK,AMARAJABAT,28-Apr-2016,0.0,XX,886.5,897.6,886.5,891.45,891.45,395,2115.53,569400,-5400,01-APR-2016
FUTSTK,AMBUJACEM,28-Apr-2016,0.0,XX,232.15,237.0,230.8,236.15,236.15,1754,8629.98,6012300,220500,01-APR-2016
FUTSTK,AMBUJACEM,26-May-2016,0.0,XX,234.45,237.7,234.45,237.7,237.7,4,19.81,18900,8400,01-APR-2016
FUTSTK,ANDHRABANK,28-Apr-2016,0.0,XX,52.45,56.15,52.4,55.85,55.85,1257,5462.74,11472000,776000,01-APR-2016
FUTSTK,ANDHRABANK,26-May-2016,0.0,XX,53.2,55.65,53.15,55.65,56.15,16,69.04,72000,40000,01-APR-2016
FUTSTK,APOLLOHOSP,28-Apr-2016,0.0,XX,1333.4,1358.9,1330.4,1355.45,1355.45,882,4748.69,1020400,16400,01-APR-2016
FUTSTK,APOLLOHOSP,26-May-2016,0.0,XX,1353.15,1353.15,1353.15,1353.15,1365.55,1,5.41,800,400,01-APR-2016
FUTSTK,APOLLOTYRE,28-Apr-2016,0.0,XX,175.35,177.3,174.05,175.6,175.6,1144,6029.08,7164000,132000,01-APR-2016
FUTSTK,APOLLOTYRE,26-May-2016,0.0,XX,177.3,177.8,175.0,176.9,176.55,16,84.41,48000,30000,01-APR-2016
FUTSTK,ARVIND,28-Apr-2016,0.0,XX,273.95,281.25,272.1,275.05,275.05,3348,15798.67,3731500,360400,01-APR-2016
FUTSTK,ARVIND,26-May-2016,0.0,XX,277.7,281.2,277.0,277.0,277.0,9,42.6,18700,11900,01-APR-2016
FUTSTK,ASHOKLEY,28-Apr-2016,0.0,XX,108.25,111.05,108.2,110.6,110.6,6428,49578.73,58625000,2373000,01-APR-2016
FUTSTK,ASHOKLEY,26-May-2016,0.0,XX,108.85,111.5,108.85,111.1,111.1,95,734.98,609000,140000,01-APR-2016
FUTSTK,ASIANPAINT,28-Apr-2016,0.0,XX,874.3,886.0,868.0,873.4,873.4,2389,12566.39,3155400,93600,01-APR-2016
FUTSTK,ASIANPAINT,26-May-2016,0.0,XX,879.15,887.95,874.0,878.0,878.0,23,121.37,12600,6600,01-APR-2016
FUTSTK,AUROPHARMA,28-Apr-2016,0.0,XX,730.0,751.0,721.35,733.95,733.95,9715,50111.29,12901700,133000,01-APR-2016
FUTSTK,AUROPHARMA,26-May-2016,0.0,XX,730.0,750.0,727.0,740.0,738.9,32,165.81,34300,7700,01-APR-2016
FUTSTK,AXISBANK,28-Apr-2016,0.0,XX,443.05,452.9,441.75,450.9,450.9,17086,76593.24,31004000,800000,01-APR-2016
FUTSTK,AXISBANK,26-May-2016,0.0,XX,445.5,455.0,444.0,452.7,452.7,92,414.28,131000,23000,01-APR-2016
FUTSTK,BAJAJ-AUTO,28-Apr-2016,0.0,XX,2420.1,2439.0,2390.15,2432.7,2432.7,1849,8943.53,1466000,-34400,01-APR-2016
FUTSTK,BAJAJ-AUTO,26-May-2016,0.0,XX,2430.0,2450.0,2427.7,2450.0,2449.6,18,87.61,1600,1400,01-APR-2016
FUTSTK,BAJFINANCE,28-Apr-2016,0.0,XX,6925.05,7048.95,6851.0,6921.05,6921.05,783,6793.11,172375,7500,01-APR-2016
FUTSTK,BAJFINANCE,26-May-2016,0.0,XX,7009.2,7047.65,6885.8,6945.0,6945.0,6,52.24,750,500,01-APR-2016
FUTSTK,BANKBARODA,28-Apr-2016,0.0,XX,146.7,153.95,146.5,153.3,153.3,10862,50933.8,45182500,1308200,01-APR-2016
FUTSTK,BANKBARODA,26-May-2016,0.0,XX,147.55,154.05,147.55,153.7,153.7,88,413.44,204600,37200,01-APR-2016
FUTSTK,BANKBARODA,30-Jun-2016,0.0,XX,149.15,153.0,149.0,152.5,155.9,18,84.51,40300,40300,01-APR-2016
FUTSTK,BANKINDIA,28-Apr-2016,0.0,XX,97.55,101.4,96.8,100.9,100.9,5045,15022.89,16761000,1047000,01-APR-2016
FUTSTK,BANKINDIA,26-May-2016,0.0,XX,97.9,101.45,97.4,100.95,100.95,62,184.6,519000,57000,01-APR-2016
FUTSTK,BANKINDIA,30-Jun-2016,0.0,XX,97.75,100.85,97.75,100.85,102.55,2,5.95,6000,6000,01-APR-2016
FUTSTK,BATAINDIA,28-Apr-2016,0.0,XX,509.35,517.8,505.05,506.7,506.7,609,3112.24,1337000,62000,01-APR-2016
FUTSTK,BATAINDIA,26-May-2016,0.0,XX,514.4,514.4,514.4,514.4,510.75,1,5.14,3000,1000,01-APR-2016
FUTSTK,BEL,28-Apr-2016,0.0,XX,1182.5,1203.0,1178.25,1184.25,1184.25,754,4039.83,1524600,19350,01-APR-2016
FUTSTK,BEL,26-May-2016,0.0,XX,1194.8,1194.8,1190.0,1190.0,1213.85,2,10.73,2700,450,01-APR-2016
FUTSTK,BEL,30-Jun-2016,0.0,XX,1200.0,1200.0,1200.0,1200.0,1223.35,2,10.8,900,900,01-APR-2016
FUTSTK,BEML,28-Apr-2016,0.0,XX,1037.8,1052.0,1032.0,1035.8,1035.8,435,2263.16,589000,35500,01-APR-2016
FUTSTK,BEML,26-May-2016,0.0,XX,1045.0,1045.0,1045.0,1045.0,1041.1,1,5.22,1000,500,01-APR-2016
FUTSTK,BHARATFORG,28-Apr-2016,0.0,XX,872.05,881.0,860.2,865.05,865.05,2769,12048.96,5616000,307000,01-APR-2016
FUTSTK,BHARATFORG,26-May-2016,0.0,XX,875.0,881.4,862.0,867.25,867.25,63,274.81,35500,24000,01-APR-2016
FUTSTK,BHARTIARTL,28-Apr-2016,0.0,XX,343.1,348.0,332.5,335.3,335.3,5945,24098.5,25464000,-217200,01-APR-2016
FUTSTK,BHARTIARTL,26-May-2016,0.0,XX,346.95,346.95,332.5,335.2,335.2,268,1090.54,450000,229200,01-APR-2016
FUTSTK,BHEL,28-Apr-2016,0.0,XX,114.0,121.35,114.0,117.5,117.5,13095,31101.3,23378000,2844000,01-APR-2016
FUTSTK,BHEL,26-May-2016,0.0,XX,114.9,121.5,114.9,117.5,117.5,123,293.56,368000,88000,01-APR-2016
FUTSTK,BIOCON,28-Apr-2016,0.0,XX,489.85,497.3,485.1,493.95,493.95,1108,5985.97,2581700,114400,01-APR-2016
FUTSTK,BIOCON,26-May-2016,0.0,XX,485.35,497.0,485.35,495.35,495.35,11,59.58,12100,9900,01-APR-2016
FUTSTK,BOSCHLTD,28-Apr-2016,0.0,XX,20850.0,20850.0,19870.0,20016.5,20016.5,1651,8373.71,86775,4700,01-APR-2016
FUTSTK,BPCL,28-Apr-2016,0.0,XX,898.35,901.5,889.25,892.85,892.85,3102,16651.9,4330200,-51600,01-APR-2016
FUTSTK,BPCL,26-May-2016,0.0,XX,895.05,901.5,895.0,897.0,898.2,8,43.11,7200,3600,01-APR-2016
FUTSTK,BRITANNIA,28-Apr-2016,0.0,XX,2682.0,2735.0,2676.0,2695.3,2695.3,986,5340.52,1498200,8600,01-APR-2016
FUTSTK,CADILAHC,28-Apr-2016,0.0,XX,318.0,325.7,314.2,321.6,321.6,1148,5520.41,4083000,-7500,01-APR-2016
FUTSTK,CADILAHC,26-May-2016,0.0,XX,320.0,320.5,320.0,320.5,324.8,2,9.6,13500,0,01-APR-2016
FUTSTK,CAIRN,28-Apr-2016,0.0,XX,154.45,155.6,152.05,154.2,154.2,1325,6119.62,9684000,78000,01-APR-2016
FUTSTK,CAIRN,26-May-2016,0.0,XX,154.5,155.55,152.6,155.55,155.55,6,27.7,99000,15000,01-APR-2016
FUTSTK,CANBK,28-Apr-2016,0.0,XX,190.15,201.0,188.85,199.65,199.65,5955,23417.52,11886000,216000,01-APR-2016
FUTSTK,CANBK,26-May-2016,0.0,XX,190.55,200.75,190.0,199.8,199.8,116,456.01,226000,60000,01-APR-2016
FUTSTK,CANBK,30-Jun-2016,0.0,XX,194.45,199.45,194.45,199.45,202.7,3,11.79,6000,6000,01-APR-2016
FUTSTK,CASTROLIND,28-Apr-2016,0.0,XX,372.25,378.5,371.5,373.85,373.85,295,1216.66,1621400,37400,01-APR-2016
FUTSTK,CEATLTD,28-Apr-2016,0.0,XX,1077.65,1083.0,1068.25,1073.75,1073.75,1302,9801.44,1068900,79800,01-APR-2016
FUTSTK,CEATLTD,26-May-2016,0.0,XX,1075.05,1084.0,1075.05,1084.0,1081.05,3,22.69,10500,1400,01-APR-2016
FUTSTK,CENTURYTEX,28-Apr-2016,0.0,XX,531.95,553.0,531.1,543.05,543.05,3985,17312.89,5856800,168800,01-APR-2016
FUTSTK,CENTURYTEX,26-May-2016,0.0,XX,538.75,552.3,538.75,548.8,546.3,4,17.43,3200,3200,01-APR-2016
FUTSTK,CESC,28-Apr-2016,0.0,XX,474.9,479.9,469.65,477.5,477.5,652,3099.3,1794000,44000,01-APR-2016
FUTSTK,CIPLA,28-Apr-2016,0.0,XX,515.6,519.85,513.0,516.55,516.55,2703,11180.74,11386400,65600,01-APR-2016
FUTSTK,CIPLA,26-May-2016,0.0,XX,517.7,520.0,516.35,518.5,518.5,15,62.19,20000,8000,01-APR-2016
FUTSTK,COALINDIA,28-Apr-2016,0.0,XX,293.65,294.9,287.35,288.9,288.9,5441,18952.32,15553200,915600,01-APR-2016
FUTSTK,COALINDIA,26-May-2016,0.0,XX,295.25,295.85,289.0,290.05,290.05,60,209.56,116400,39600,01-APR-2016
FUTSTK,COLPAL,28-Apr-2016,0.0,XX,821.4,832.75,819.7,829.15,829.15,546,2261.23,2040000,10500,01-APR-2016
FUTSTK,COLPAL,26-May-2016,0.0,XX,834.2,834.2,834.2,834.2,844.15,1,4.17,1000,500,01-APR-2016
FUTSTK,CONCOR,28-Apr-2016,0.0,XX,1240.05,1275.0,1231.8,1266.4,1266.4,312,1566.22,409200,-4800,01-APR-2016
FUTSTK,CROMPGREAV,28-Apr-2016,0.0,XX,49.05,50.0,48.05,48.85,48.85,2084,3060.24,16905000,1107000,01-APR-2016
FUTSTK,CROMPGREAV,26-May-2016,0.0,XX,49.15,49.7,48.25,48.25,49.2,6,8.81,54000,6000,01-APR-2016
FUTSTK,CUMMINSIND,28-Apr-2016,0.0,XX,853.0,898.0,852.9,867.95,867.95,692,3653.37,255600,58800,01-APR-2016
FUTSTK,DABUR,28-Apr-2016,0.0,XX,249.55,252.25,249.1,251.6,251.6,351,1759.43,4044000,68000,01-APR-2016
FUTSTK,DHFL,28-Apr-2016,0.0,XX,198.4,202.5,197.25,200.55,200.55,1547,6813.62,6336000,154000,01-APR-2016
FUTSTK,DHFL,26-May-2016,0.0,XX,201.0,202.7,199.0,201.9,201.9,11,48.75,17600,6600,01-APR-2016
FUTSTK,DISHTV,28-Apr-2016,0.0,XX,87.2,87.2,84.65,85.95,85.95,1191,5110.62,22140000,155000,01-APR-2016
FUTSTK,DISHTV,26-May-2016,0.0,XX,86.65,86.65,85.4,86.5,86.5,5,21.56,50000,10000,01-APR-2016
FUTSTK,DIVISLAB,28-Apr-2016,0.0,XX,984.95,1013.0,983.95,1009.9,1009.9,842,5062.47,2145600,39000,01-APR-2016
FUTSTK,DLF,28-Apr-2016,0.0,XX,114.5,122.0,113.7,121.6,121.6,11170,66579.76,34210000,2595000,01-APR-2016
FUTSTK,DLF,26-May-2016,0.0,XX,114.3,122.45,114.3,122.15,122.15,94,564.71,350000,140000,01-APR-2016
FUTSTK,DRREDDY,28-Apr-2016,0.0,XX,3035.85,3039.0,2985.3,2998.25,2998.25,3424,15442.19,1474800,117450,01-APR-2016
FUTSTK,DRREDDY,26-May-2016,0.0,XX,3034.75,3034.8,3002.0,3011.0,3011.0,21,95.03,7050,1050,01-APR-2016
FUTSTK,EICHERMOT,28-Apr-2016,0.0,XX,19100.0,19540.0,19012.3,19310.85,19310.85,5165,24918.67,177550,4950,01-APR-2016
FUTSTK,ENGINERSIN,28-Apr-2016,0.0,XX,168.45,175.0,168.45,171.35,171.35,442,1675.45,3471600,6600,01-APR-2016
FUTSTK,EXIDEIND,28-Apr-2016,0.0,XX,139.6,141.45,138.55,140.35,140.35,340,1622.25,5701800,122400,01-APR-2016
FUTSTK,EXIDEIND,26-May-2016,0.0,XX,140.75,140.75,140.75,140.75,143.2,1,4.78,47600,3400,01-APR-2016
FUTSTK,FEDERALBNK,28-Apr-2016,0.0,XX,46.25,47.3,46.0,47.15,47.15,1103,4142.44,43128000,3344000,01-APR-2016
FUTSTK,FEDERALBNK,26-May-2016,0.0,XX,46.3,47.5,46.3,47.35,47.35,16,60.16,208000,104000,01-APR-2016
FUTSTK,GAIL,28-Apr-2016,0.0,XX,356.2,356.95,348.7,349.85,349.85,1410,6944.2,5483800,182000,01-APR-2016
FUTSTK,GAIL,26-May-2016,0.0,XX,354.65,355.45,350.0,350.0,352.0,16,79.1,23800,9800,01-APR-2016
FUTSTK,GLENMARK,28-Apr-2016,0.0,XX,789.55,800.4,787.5,797.7,797.7,891,3540.96,2793500,6000,01-APR-2016
FUTSTK,GMRINFRA,28-Apr-2016,0.0,XX,11.7,12.15,11.55,12.1,12.1,933,4342.2,195351000,1794000,01-APR-2016
FUTSTK,GMRINFRA,26-May-2016,0.0,XX,12.0,12.1,11.95,12.1,12.1,7,32.79,1794000,156000,01-APR-2016
FUTSTK,GODREJCP,28-Apr-2016,0.0,XX,1383.35,1409.8,1370.95,1397.85,1397.85,161,896.58,241600,14000,01-APR-2016
FUTSTK,GODREJIND,28-Apr-2016,0.0,XX,342.0,354.0,341.0,352.35,352.35,829,3757.65,1332500,24700,01-APR-2016
FUTSTK,GODREJIND,26-May-2016,0.0,XX,344.5,348.5,340.85,348.45,361.45,21,93.81,22100,7800,01-APR-2016
FUTSTK,GRANULES,28-Apr-2016,0.0,XX,120.0,121.75,119.85,120.75,120.75,242,1459.98,4415000,50000,01-APR-2016
FUTSTK,GRASIM,28-Apr-2016,0.0,XX,3852.05,3912.35,3842.25,3879.1,3879.1,854,4974.34,823050,7800,01-APR-2016
FUTSTK,HAVELLS,28-Apr-2016,0.0,XX,317.95,318.6,313.15,314.9,314.9,1126,7097.79,2530000,408000,01-APR-2016
FUTSTK,HAVELLS,26-May-2016,0.0,XX,315.05,315.8,315.0,315.65,315.65,5,31.52,8000,2000,01-APR-2016
FUTSTK,HCLTECH,28-Apr-2016,0.0,XX,818.15,824.5,809.0,819.9,819.9,3920,19270.98,6322800,28200,01-APR-2016
FUTSTK,HCLTECH,26-May-2016,0.0,XX,820.0,825.85,820.0,823.25,823.25,21,103.63,24000,11400,01-APR-2016
FUTSTK,HDFC,28-Apr-2016,0.0,XX,1108.3,1122.95,1099.5,1118.9,1118.9,8256,36683.7,10371600,56000,01-APR-2016
FUTSTK,HDFC,26-May-2016,0.0,XX,1110.2,1125.0,1109.7,1123.4,1123.4,21,93.56,21200,3600,01-APR-2016
FUTSTK,HDFCBANK,28-Apr-2016,0.0,XX,1079.6,1083.65,1065.1,1072.8,1072.8,9565,51279.19,24975500,400000,01-APR-2016
FUTSTK,HDFCBANK,26-May-2016,0.0,XX,1080.85,1081.75,1067.5,1077.0,1077.0,249,1336.81,113500,48500,01-APR-2016
FUTSTK,HDFCBANK,30-Jun-2016,0.0,XX,1075.0,1076.0,1071.0,1076.0,1085.95,71,381.05,35000,35000,01-APR-2016
FUTSTK,HDIL,28-Apr-2016,0.0,XX,73.65,78.4,73.05,77.8,77.8,5575,25659.84,23148000,2874000,01-APR-2016
FUTSTK,HDIL,26-May-2016,0.0,XX,74.65,78.4,74.65,78.1,78.1,36,167.35,174000,78000,01-APR-2016
FUTSTK,HEROMOTOCO,28-Apr-2016,0.0,XX,2954.0,2977.0,2925.2,2959.35,2959.35,2576,15224.07,1062800,76200,01-APR-2016
FUTSTK,HEROMOTOCO,26-May-2016,0.0,XX,2949.0,2977.05,2947.0,2966.8,2966.8,17,100.9,12200,1200,01-APR-2016
FUTSTK,HEXAWARE,28-Apr-2016,0.0,XX,267.3,271.4,265.65,270.05,270.05,1033,5561.48,3710000,-8000,01-APR-2016
FUTSTK,HEXAWARE,26-May-2016,0.0,XX,268.15,268.15,268.15,268.15,274.5,1,5.36,2000,-2000,01-APR-2016
FUTSTK,HINDALCO,28-Apr-2016,0.0,XX,87.6,88.05,86.4,87.25,87.25,2442,10646.08,34685000,625000,01-APR-2016
FUTSTK,HINDALCO,26-May-2016,0.0,XX,87.5,87.85,87.0,87.45,87.75,21,91.83,290000,20000,01-APR-2016
FUTSTK,HINDPETRO,28-Apr-2016,0.0,XX,788.95,801.6,780.9,797.05,797.05,3388,16113.61,5333400,99000,01-APR-2016
FUTSTK,HINDPETRO,26-May-2016,0.0,XX,790.2,804.0,788.0,800.9,800.9,8,38.14,9600,2400,01-APR-2016
FUTSTK,HINDUNILVR,28-Apr-2016,0.0,XX,872.45,878.1,862.0,871.8,871.8,2546,13284.57,3387000,-35400,01-APR-2016
FUTSTK,HINDUNILVR,26-May-2016,0.0,XX,872.3,875.0,872.3,875.0,875.0,4,20.98,4200,2400,01-APR-2016
FUTSTK,HINDUNILVR,30-Jun-2016,0.0,XX,871.2,871.2,871.2,876.0,876.0,3,15.71,1800,1800,01-APR-2016
FUTSTK,HINDZINC,28-Apr-2016,0.0,XX,182.0,184.8,181.5,184.2,184.2,1018,5978.81,4707200,748800,01-APR-2016
FUTSTK,HINDZINC,26-May-2016,0.0,XX,181.6,182.8,181.6,182.8,187.1,3,17.5,16000,9600,01-APR-2016
FUTSTK,IBREALEST,28-Apr-2016,0.0,XX,56.45,58.9,56.1,58.15,58.15,2163,11245.38,30870000,783000,01-APR-2016
FUTSTK,IBREALEST,26-May-2016,0.0,XX,56.85,59.2,56.85,58.3,58.6,15,78.18,117000,108000,01-APR-2016
FUTSTK,IBULHSGFIN,28-Apr-2016,0.0,XX,654.15,663.05,642.5,650.1,650.1,2014,10509.76,8615200,60000,01-APR-2016
FUTSTK,IBULHSGFIN,26-May-2016,0.0,XX,650.0,650.0,650.0,650.0,654.65,1,5.2,5600,0,01-APR-2016
FUTSTK,ICICIBANK,28-Apr-2016,0.0,XX,237.75,239.9,233.65,239.1,239.1,14011,56392.5,48830800,712300,01-APR-2016
FUTSTK,ICICIBANK,26-May-2016,0.0,XX,237.2,240.55,234.5,239.8,239.8,279,1124.89,693600,229500,01-APR-2016
FUTSTK,ICICIBANK,30-Jun-2016,0.0,XX,236.5,238.5,234.6,238.0,243.15,18,72.6,27200,27200,01-APR-2016
FUTSTK,ICIL,28-Apr-2016,0.0,XX,975.75,999.0,970.15,991.25,991.25,101,498.34,160000,500,01-APR-2016
FUTSTK,ICIL,26-May-2016,0.0,XX,980.0,980.0,980.0,980.0,998.6,4,19.54,2000,1500,01-APR-2016
FUTSTK,IDBI,28-Apr-2016,0.0,XX,70.65,73.1,70.0,72.85,72.85,3907,22422.31,31384000,2456000,01-APR-2016
FUTSTK,IDBI,26-May-2016,0.0,XX,70.65,73.05,69.75,72.75,72.75,37,212.53,376000,80000,01-APR-2016
FUTSTK,IDEA,28-Apr-2016,0.0,XX,109.45,109.7,105.3,106.0,106.0,2865,9195.48,34359000,957000,01-APR-2016
FUTSTK,IDEA,26-May-2016,0.0,XX,108.75,109.3,105.15,105.7,105.7,94,303.06,483000,216000,01-APR-2016
FUTSTK,IDFC,28-Apr-2016,0.0,XX,40.6,41.5,39.75,40.8,40.8,2386,3198.49,68841300,458700,01-APR-2016
FUTSTK,IDFC,26-May-2016,0.0,XX,40.7,41.5,40.05,40.95,40.95,42,56.42,544500,26400,01-APR-2016
FUTSTK,IDFC,30-Jun-2016,0.0,XX,41.5,41.5,40.8,40.9,41.4,3,4.06,9900,9900,01-APR-2016
FUTSTK,IFCI,28-Apr-2016,0.0,XX,24.8,25.5,24.6,25.15,25.15,993,4979.98,48560000,1320000,01-APR-2016
FUTSTK,IFCI,26-May-2016,0.0,XX,25.2,25.55,25.05,25.3,25.3,8,40.46,300000,100000,01-APR-2016
FUTSTK,IGL,28-Apr-2016,0.0,XX,569.0,585.7,563.05,566.0,566.0,896,5672.47,1214400,25300,01-APR-2016
FUTSTK,INDIACEM,28-Apr-2016,0.0,XX,86.25,89.5,86.2,89.15,89.15,1638,8680.0,29544000,1134000,01-APR-2016
FUTSTK,INDIACEM,26-May-2016,0.0,XX,87.5,88.6,87.5,88.6,89.6,3,15.87,30000,6000,01-APR-2016
FUTSTK,INDUSINDBK,28-Apr-2016,0.0,XX,967.35,971.1,954.15,962.55,962.55,4033,23312.06,4248000,204000,01-APR-2016
FUTSTK,INDUSINDBK,26-May-2016,0.0,XX,977.9,977.9,958.85,968.45,973.15,5,29.05,9000,1800,01-APR-2016
FUTSTK,INFRATEL,28-Apr-2016,0.0,XX,380.75,392.0,377.5,386.35,386.35,1135,5668.79,3946800,-195000,01-APR-2016
FUTSTK,INFY,28-Apr-2016,0.0,XX,1223.35,1227.0,1203.2,1211.7,1211.7,7530,45755.71,10879000,464500,01-APR-2016
FUTSTK,INFY,26-May-2016,0.0,XX,1222.0,1223.4,1203.0,1211.05,1211.05,108,656.15,110500,27500,01-APR-2016
FUTSTK,INFY,30-Jun-2016,0.0,XX,1211.6,1211.6,1208.0,1211.45,1211.45,3,18.15,1500,1500,01-APR-2016
FUTSTK,IOB,28-Apr-2016,0.0,XX,29.85,31.2,29.85,30.6,30.6,439,1873.15,10696000,1134000,01-APR-2016
FUTSTK,IOB,26-May-2016,0.0,XX,29.95,30.65,29.7,30.1,30.1,23,96.91,504000,42000,01-APR-2016
FUTSTK,IOB,30-Jun-2016,0.0,XX,0.0,0.0,0.0,29.7,29.7,8,33.28,98000,98000,01-APR-2016
FUTSTK,IOC,28-Apr-2016,0.0,XX,397.6,397.85,392.4,394.8,394.8,986,4683.56,6026400,-69600,01-APR-2016
FUTSTK,IOC,26-May-2016,0.0,XX,398.5,398.5,396.7,396.7,397.9,2,9.54,3600,2400,01-APR-2016
FUTSTK,IRB,28-Apr-2016,0.0,XX,232.6,240.8,232.35,238.25,238.25,1441,7197.7,4405800,155400,01-APR-2016
FUTSTK,IRB,26-May-2016,0.0,XX,239.1,239.5,238.5,238.5,239.8,4,20.08,12600,2100,01-APR-2016
FUTSTK,ITC,28-Apr-2016,0.0,XX,328.05,337.85,327.45,337.1,337.1,6474,34689.5,28873600,1025600,01-APR-2016
FUTSTK,ITC,26-May-2016,0.0,XX,332.0,338.95,332.0,338.75,338.75,32,172.47,92800,25600,01-APR-2016
FUTSTK,JETAIRWAYS,28-Apr-2016,0.0,XX,543.0,573.75,539.4,570.5,570.5,10284,52004.7,5013000,346500,01-APR-2016
FUTSTK,JETAIRWAYS,26-May-2016,0.0,XX,552.55,576.3,552.55,574.65,574.65,50,254.18,27900,17100,01-APR-2016
FUTSTK,JINDALSTEL,28-Apr-2016,0.0,XX,59.75,65.65,59.7,63.95,63.95,3785,16758.33,33649000,1498000,01-APR-2016
FUTSTK,JINDALSTEL,26-May-2016,0.0,XX,61.5,65.85,60.4,64.05,64.05,32,143.2,119000,42000,01-APR-2016
FUTSTK,JINDALSTEL,30-Jun-2016,0.0,XX,61.0,61.0,61.0,61.0,64.8,1,4.27,7000,7000,01-APR-2016
FUTSTK,JISLJALEQS,28-Apr-2016,0.0,XX,60.0,61.5,59.95,60.65,60.65,898,4363.09,38024000,-488000,01-APR-2016
FUTSTK,JISLJALEQS,26-May-2016,0.0,XX,60.55,61.0,60.55,61.0,61.0,2,9.72,32000,16000,01-APR-2016
FUTSTK,JPASSOCIAT,28-Apr-2016,0.0,XX,7.8,9.0,7.8,8.6,8.6,2385,9784.1,163104000,8160000,01-APR-2016
FUTSTK,JPASSOCIAT,26-May-2016,0.0,XX,8.0,9.0,8.0,8.65,8.65,34,141.12,2304000,240000,01-APR-2016
FUTSTK,JSWENERGY,28-Apr-2016,0.0,XX,69.85,70.05,67.6,68.45,68.45,394,1624.68,5724000,918000,01-APR-2016
FUTSTK,JSWSTEEL,28-Apr-2016,0.0,XX,1280.35,1283.0,1259.1,1270.5,1270.5,3953,30139.69,6705600,153000,01-APR-2016
FUTSTK,JSWSTEEL,26-May-2016,0.0,XX,1280.0,1280.0,1265.0,1275.0,1275.0,11,83.88,12600,4200,01-APR-2016
FUTSTK,JUBLFOOD,28-Apr-2016,0.0,XX,1282.95,1314.9,1282.0,1297.05,1297.05,1735,6760.65,1788300,47700,01-APR-2016
